#: table_doi: 10.17182/hepdata.153301.v1/t10
#: name: Covariance for full matrix m(tt) differential
#: description: Covariance for full matrix measurement differential in $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $m(t\bar{t}) > 800 $ GeV,1.6148e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $m(t\bar{t}) > 800 $ GeV,-2.2976e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $m(t\bar{t}) > 800 $ GeV,-4.6901e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $300 < m(t\bar{t}) < 400 $ GeV,4.7432e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0011226
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,-2.7553e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.00011052
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,6.09e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,-3.2567e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,-1.3437e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $300 < m(t\bar{t}) < 400 $ GeV,-6.0795e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.7775e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.00012188
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,9.517e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0011849
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,-9.8558e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,-1.5202e-05
